Energy (eV),Cross-section (Mb)
0.05,0.00605795
0.1,0.016389549
0.15,0.017978562
0.2,0.011477507
0.25,0.014703909
0.3,0.043630133
0.35,0.090425663
0.4,0.12506337
0.45,0.12395599
0.5,0.098363833
0.55,0.090400126
0.6,0.1344925
0.65,0.21944647
0.7,0.291606
0.75,0.30277407
0.8,0.26037754
0.85,0.22869504
0.9,0.27271504
0.95,0.39332881
1,0.51771507
1.05,0.56165934
1.1,0.51092892
1.15,0.44366886
1.2,0.46499285
1.25,0.60808604
1.3,0.79484324
1.35,0.90073843
1.4,0.87156286
1.45,0.78386421
1.5,0.78453485
1.55,0.95604735
1.6,1.2302357
1.65,1.4389148
1.7,1.4659068
1.75,1.364049
1.8,1.3212356
1.85,1.4936592
1.9,1.8538497
1.95,2.2006493
2,2.3368239
2.05,2.2597736
2.1,2.1836276
2.15,2.3555316
2.2,2.8226527
2.25,3.3690406
2.3,3.6997263
2.35,3.7200877
2.4,3.6515668
2.45,3.8555357
2.5,4.5042106
2.55,5.3994452
2.6,6.1310874
2.65,6.460926
2.7,6.5877278
2.75,7.0224624
2.8,8.1466354
2.85,9.8433934
2.9,11.573807
2.95,12.891095
3,13.958486
3.05,15.565641
3.1,18.548115
3.15,23.089442
3.2,28.602809
3.25,34.473715
3.3,41.158103
3.35,50.623775
3.4,65.421331
3.45,86.672909
3.5,112.26514
3.55,136.68398
3.6,153.01129
3.65,156.13972
3.7,145.33096
3.75,124.55265
3.8,100.3981
3.85,78.893914
3.9,63.114347
3.95,52.797028
4,45.79171
4.05,40.047528
4.1,34.78989
4.15,30.383318
4.2,27.400252
4.25,25.843599
4.3,25.100479
4.35,24.476065
4.4,23.715432
4.45,23.062438
4.5,22.900376
4.55,23.376332
4.6,24.339748
4.65,25.57206
4.7,27.019884
4.75,28.811173
4.8,31.114093
4.85,34.063989
4.9,37.8599
4.95,42.863376
5,49.445449
5.05,57.580932
5.1,66.553072
5.15,75.205695
5.2,82.779772
5.25,89.774334
5.3,98.070797
5.35,110.01877
5.4,127.07231
5.45,149.09397
5.5,175.0456
5.55,204.61379
5.6,239.3085
5.65,281.62948
5.7,332.29307
5.75,387.22856
5.8,436.82188
5.85,468.7827
5.9,473.6753
5.95,450.07662
6,406.12374
6.05,356.18261
6.1,314.31082
6.15,288.10984
6.2,276.30316
6.25,270.98542
6.3,262.80217
6.35,245.83952
6.4,219.72658
6.45,188.45341
6.5,157.37803
6.55,130.50261
6.6,109.36543
6.65,93.526264
6.7,81.709288
6.75,72.688473
6.8,65.578742
6.85,59.772972
6.9,54.873901
6.95,50.720656
7,47.370678
7.05,44.925112
7.1,43.302522
7.15,42.190486
7.2,41.266332
7.25,40.507617
7.3,40.277301
7.35,41.042848
7.4,42.920455
7.45,45.427835
7.5,47.688472
7.55,48.957309
7.6,49.063521
7.65,48.430127
7.7,47.684557
7.75,47.208378
7.8,47.006015
7.85,46.972648
7.9,47.285869
7.95,48.535461
8,51.437687
8.05,56.338881
8.1,62.894026
8.15,70.160129
8.2,77.016897
8.25,82.603731
8.3,86.516746
8.35,88.749613
8.4,89.584126
8.45,89.569272
8.5,89.547941
8.55,90.539156
8.6,93.330195
8.65,97.953876
8.7,103.39828
8.75,107.86383
8.8,109.53633
8.85,107.46997
8.9,102.05517
8.95,94.802236
9,87.586476
9.05,81.830391
9.1,78.068114
9.15,76.053232
9.2,75.215354
9.25,75.124471
9.3,75.708949
9.35,77.186185
9.4,79.830656
9.45,83.733354
9.5,88.646109
9.55,93.945076
9.6,98.73274
9.65,102.0803
9.7,103.36871
9.75,102.59183
9.8,100.45123
9.85,98.157921
9.9,96.988857
9.95,97.828931
10,100.9131
10.05,105.87723
10.1,112.02388
10.15,118.62915
10.2,125.11478
10.25,131.05903
10.3,136.12768
10.35,140.02767
10.4,142.52419
10.45,143.50955
10.5,143.06575
10.55,141.48226
10.6,139.2285
10.65,136.87157
10.7,134.95917
10.75,133.88497
10.8,133.79314
10.85,134.5761
10.9,135.99933
10.95,137.86856
11,140.15123
11.05,142.97794
11.1,146.55871
11.15,151.10281
11.2,156.82355
11.25,163.97411
11.3,172.79268
11.35,183.27851
11.4,194.88829
11.45,206.40734
11.5,216.19985
11.55,222.82283
11.6,225.681
11.65,225.31001
11.7,223.0804
11.75,220.50504
11.8,218.60874
11.85,217.75516
11.9,217.96151
11.95,219.35987
12,222.33951
12.05,227.24436
12.1,233.84429
12.15,241.08412
12.2,247.37562
12.25,251.30104
12.3,252.25157
12.35,250.59345
12.4,247.28013
12.45,243.2863
12.5,239.26612
12.55,235.62352
12.6,232.78949
12.65,231.3443
12.7,231.8031
12.75,234.25626
12.8,238.20875
12.85,242.82932
12.9,247.4627
12.95,251.97863
13,256.65738
13.05,261.67078
13.1,266.58021
13.15,270.29748
13.2,271.6182
13.25,269.99619
13.3,266.03195
13.35,261.3587
13.4,257.98259
13.45,257.50261
13.5,260.5963
13.55,266.95014
13.6,275.50813
13.65,284.81586
13.7,293.34681
13.75,299.78759
13.8,303.32694
13.85,303.87183
13.9,302.06996
13.95,299.06785
14,296.10964
14.05,294.19611
14.1,293.95789
14.15,295.71575
14.2,299.52738
14.25,305.09497
14.3,311.59571
14.35,317.68587
14.4,321.8704
14.45,323.1557
14.5,321.60221
14.55,318.38914
14.6,315.27632
14.65,313.80406
14.7,314.74032
14.75,318.11255
14.8,323.71255
14.85,331.62961
14.9,342.39643
14.95,356.70377
15,374.99398
15.05,397.32046
15.1,423.53906
15.15,453.5521
15.2,487.19347
15.25,523.67143
15.3,560.93894
15.35,595.59707
15.4,623.69039
15.45,642.13938
15.5,650.07144
15.55,649.28409
15.6,643.537
15.65,637.07245
15.7,633.14739
15.75,633.24837
15.8,637.19428
15.85,643.81945
15.9,651.74127
15.95,659.84565
16,667.4144
16.05,674.01506
16.1,679.29823
16.15,682.78387
16.2,683.69452
16.25,680.92122
16.3,673.24344
16.35,659.80504
16.4,640.67919
16.45,617.19656
16.5,591.77446
16.55,567.25166
16.6,545.98877
16.65,529.1957
16.7,516.77222
16.75,507.6745
16.8,500.56931
16.85,494.42709
16.9,488.83001
16.95,483.95443
17,480.30853
17.05,478.38918
17.1,478.36613
17.15,479.91047
17.2,482.25716
17.25,484.5003
17.3,486.01171
17.35,486.74894
17.4,487.26043
17.45,488.3306
17.5,490.47057
17.55,493.57388
17.6,496.97061
17.65,499.84342
17.7,501.72582
17.75,502.73672
17.8,503.43297
17.85,504.41021
17.9,505.97467
17.95,508.09525
18,510.62342
18.05,513.52037
18.1,516.88674
18.15,520.75216
18.2,524.82758
18.25,528.46543
18.3,530.91785
18.35,531.73996
18.4,531.06091
18.45,529.54401
18.5,528.05419
18.55,527.26391
18.6,527.41026
18.65,528.29091
18.7,529.39437
18.75,530.03794
18.8,529.45876
18.85,526.9156
18.9,521.8827
18.95,514.30736
19,504.78303
19.05,494.4666
19.1,484.68653
19.15,476.42629
19.2,469.95734
19.25,464.84321
19.3,460.31447
19.35,455.78171
19.4,451.18126
19.45,446.97412
19.5,443.85106
19.55,442.33599
19.6,442.54929
19.65,444.1979
19.7,446.75424
19.75,449.6618
19.8,452.45266
19.85,454.76862
19.9,456.33491
19.95,456.9675
20,456.60455
20.05,455.33645
20.1,453.37977
20.15,450.99869
20.2,448.41053
20.25,445.75066
20.3,443.0959
20.35,440.52347
20.4,438.13727
20.45,436.02327
20.5,434.16209
20.55,432.35762
20.6,430.23741
20.65,427.34703
20.7,423.28661
20.75,417.8238
20.8,410.93923
20.85,402.80814
20.9,393.75103
20.95,384.19524
21,374.64786
21.05,365.66283
21.1,357.77906
21.15,351.4433
21.2,346.94895
21.25,344.43213
21.3,343.91077
21.35,345.33949
21.4,348.6089
21.45,353.4907
21.5,359.55902
21.55,366.16078
21.6,372.49545
21.65,377.77166
21.7,381.39414
21.75,383.06836
21.8,382.80127
21.85,380.82375
21.9,377.49287
21.95,373.22353
22,368.46612
22.05,363.67981
22.1,359.29377
22.15,355.64824
22.2,352.95434
22.25,351.29731
22.3,350.68558
22.35,351.08218
22.4,352.40846
22.45,354.50343
22.5,357.09306
22.55,359.80306
22.6,362.23499
22.65,364.05483
22.7,365.04012
22.75,365.065
22.8,364.05044
22.85,361.93096
22.9,358.66996
22.95,354.30952
23,349.00843
23.05,343.01768
23.1,336.61349
23.15,330.03478
23.2,323.46449
23.25,317.07091
23.3,311.04321
23.35,305.58919
23.4,300.87129
23.45,296.92173
23.5,293.60804
23.55,290.68145
23.6,287.88364
23.65,285.05218
23.7,282.17644
23.75,279.36729
23.8,276.80071
23.85,274.64537
23.9,273.02823
23.95,272.01623
24,271.6167
24.05,271.78829
24.1,272.46405
24.15,273.58618
24.2,275.1382
24.25,277.13731
24.3,279.58754
24.35,282.40913
24.4,285.395
24.45,288.2228
24.5,290.5212
24.55,291.95468
24.6,292.27957
24.65,291.36746
24.7,289.19455
24.75,285.84721
24.8,281.52446
24.85,276.53253
24.9,271.24461
24.95,266.02804
25,261.17477
25.05,256.88019
25.1,253.26723
25.15,250.44052
25.2,248.50543
25.25,247.54026
25.3,247.54356
25.35,248.39567
25.4,249.88366
25.45,251.75545
25.5,253.77469
25.55,255.7299
25.6,257.41509
25.65,258.62173
25.7,259.17529
25.75,259.00919
25.8,258.21049
25.85,256.99251
25.9,255.5927
25.95,254.15446
26,252.67379
26.05,251.03944
26.1,249.14131
26.15,246.94756
26.2,244.52001
26.25,241.95087
26.3,239.29283
26.35,236.5349
26.4,233.63721
26.45,230.58329
26.5,227.41083
26.55,224.1974
26.6,221.02201
26.65,217.94724
26.7,215.02687
26.75,212.3187
26.8,209.88054
26.85,207.73764
26.9,205.85927
26.95,204.16456
27,202.56754
27.05,201.01991
27.1,199.52533
27.15,198.10026
27.2,196.72825
27.25,195.34453
27.3,193.87593
27.35,192.29793
27.4,190.65957
27.45,189.05413
27.5,187.54967
27.55,186.14876
27.6,184.80236
27.65,183.47205
27.7,182.17761
27.75,180.98999
27.8,179.97507
27.85,179.13174
27.9,178.39305
27.95,177.6807
28,176.97603
28.05,176.34161
28.1,175.8883
28.15,175.70134
28.2,175.80744
28.25,176.19088
28.3,176.83956
28.35,177.76668
28.4,178.98319
28.45,180.4368
28.5,181.98845
28.55,183.45156
28.6,184.67576
28.65,185.61605
28.7,186.33425
28.75,186.9416
28.8,187.52589
28.85,188.12628
28.9,188.75521
28.95,189.43683
29,190.21138
29.05,191.09166
29.1,192.02024
29.15,192.86906
29.2,193.49177
29.25,193.79727
29.3,193.77495
29.35,193.47018
29.4,192.91808
29.45,192.10914
29.5,191.01629
29.55,189.65343
29.6,188.10945
29.65,186.53146
29.7,185.0581
29.75,183.76804
29.8,182.68433
29.85,181.82271
29.9,181.23622
29.95,181.01414
30,181.22268
