Wavenumbers,Intensity (km/mol),factor
87.5367,0,0.9563
87.5367,0,0.9563
122.5917,4.8786,0.9563
162.9425,0,0.9563
223.5094,0,0.9563
290.0117,0,0.9563
290.0117,0,0.9563
296.6587,0,0.9563
296.6587,0,0.9563
363.5023,0,0.9563
363.5023,0,0.9563
377.6961,3.1458,0.9563
377.6961,3.146,0.9563
447.6036,0,0.9563
447.6036,0,0.9563
468.3106,0,0.9563
474.7752,0,0.9563
490.5509,0,0.9563
490.5509,0,0.9563
522.2765,0,0.9563
540.4702,0,0.9563
540.4702,0,0.9563
547.9752,28.0918,0.9563
552.4857,0,0.9563
633.7876,0,0.9563
641.0089,0,0.9563
657.1711,0,0.9563
657.1711,0,0.9563
667.6419,0,0.9563
678.593,0,0.9563
678.593,0,0.9563
756.7404,0,0.9563
756.7404,0,0.9563
762.4127,0,0.9563
773.1901,5.8426,0.9563
773.1901,5.842,0.9563
797.4463,0,0.9563
800.8385,0.1461,0.9563
800.8385,0.1461,0.9563
804.6632,0,0.9563
804.6632,0,0.9563
842.2251,0,0.9563
842.2251,0,0.9563
862.8188,175.7049,0.9563
927.6709,0,0.9563
949.9608,0,0.9563
958.4104,0,0.9563
958.4104,0,0.9563
970.6415,0,0.9563
970.6415,0,0.9563
977.3085,0,0.9563
984.1683,0,0.9563
984.1683,0,0.9563
1018.8929,0,0.9563
1133.5109,6.513,0.9523
1133.5109,6.5122,0.9523
1149.0329,0,0.9523
1157.8054,0,0.9523
1160.513,0,0.9523
1160.513,0,0.9523
1174.9671,0,0.9523
1206.9601,1.0016,0.9523
1206.9601,1.0014,0.9523
1215.4416,0,0.9523
1217.8116,0,0.9523
1217.8116,0,0.9523
1237.5278,0,0.9523
1304.325,24.0274,0.9523
1304.325,24.0305,0.9523
1328.7674,0,0.9523
1335.4038,0,0.9523
1378.7025,0.8497,0.9523
1378.7025,0.8498,0.9523
1381.8961,0,0.9523
1381.8961,0,0.9523
1413.8015,0,0.9523
1415.584,0,0.9523
1415.584,0,0.9523
1436.0215,0,0.9523
1436.0215,0,0.9523
1465.9001,0,0.9523
1485.6327,1.3604,0.9523
1485.6327,1.3607,0.9523
1519.4988,0,0.9523
1520.9952,0,0.9523
1582.1916,0,0.9523
1589.7957,0,0.9523
1589.7957,0,0.9523
1593.1868,13.1087,0.9523
1593.1868,13.1064,0.9523
3045.8898,0,0.9595
3046.7323,7.9681,0.9595
3046.7323,7.9686,0.9595
3048.3525,0,0.9595
3048.3525,0,0.9595
3049.0986,0,0.9595
3065.7234,0,0.9595
3066.8454,0,0.9595
3066.8454,0,0.9595
3068.821,140.2457,0.9595
3068.821,140.2479,0.9595
3070.4841,0,0.9595
