Wavenumbers,Intensity (km/mol),factor
122.5917,4.8786,0.9563
377.6961,3.1458,0.9563
377.6961,3.146,0.9563
547.9752,28.0918,0.9563
773.1901,5.8426,0.9563
773.1901,5.842,0.9563
800.8385,0.1461,0.9563
800.8385,0.1461,0.9563
862.8188,175.7049,0.9563
1133.5109,6.513,0.9523
1133.5109,6.5122,0.9523
1206.9601,1.0016,0.9523
1206.9601,1.0014,0.9523
1304.325,24.0274,0.9523
1304.325,24.0305,0.9523
1378.7025,0.8497,0.9523
1378.7025,0.8498,0.9523
1485.6327,1.3604,0.9523
1485.6327,1.3607,0.9523
1593.1868,13.1087,0.9523
1593.1868,13.1064,0.9523
3046.7323,7.9681,0.9595
3046.7323,7.9686,0.9595
3068.821,140.2457,0.9595
3068.821,140.2479,0.9595
